No.Sim,Period[s],AmpR[V],AmpS[V],AmpT[V],Fault_type,R_fault[ohm],Fault_dist[m],Fault_time[us]
1,1e-07,24.0,24.0,24.0,1,0.01,12,0.08
2,1e-07,24.0,24.0,24.0,1,0.01,40,0.27
3,1e-07,24.0,24.0,24.0,1,0.01,283,1.89
4,1e-07,24.0,24.0,24.0,1,0.01,933,6.22
5,1e-07,24.0,24.0,24.0,1,0.01,757,5.05
6,1e-07,24.0,24.0,24.0,1,0.01,1833,12.23
7,1e-07,24.0,24.0,24.0,1,0.01,1274,8.50
8,1e-07,24.0,24.0,24.0,1,0.01,594,3.96
9,1e-07,24.0,24.0,24.0,1,0.01,968,6.46
10,1e-07,24.0,24.0,24.0,1,0.01,649,4.33
11,1e-07,24.0,24.0,24.0,2,0.01,12,0.08
12,1e-07,24.0,24.0,24.0,2,0.01,40,0.27
13,1e-07,24.0,24.0,24.0,2,0.01,283,1.89
14,1e-07,24.0,24.0,24.0,2,0.01,933,6.22
15,1e-07,24.0,24.0,24.0,2,0.01,757,5.05
16,1e-07,24.0,24.0,24.0,2,0.01,1833,12.23
17,1e-07,24.0,24.0,24.0,2,0.01,1274,8.50
18,1e-07,24.0,24.0,24.0,2,0.01,594,3.96
19,1e-07,24.0,24.0,24.0,2,0.01,968,6.46
20,1e-07,24.0,24.0,24.0,2,0.01,649,4.33
21,1e-07,24.0,24.0,24.0,6,0.01,12,0.08
22,1e-07,24.0,24.0,24.0,6,0.01,40,0.27
23,1e-07,24.0,24.0,24.0,6,0.01,283,1.89
24,1e-07,24.0,24.0,24.0,6,0.01,933,6.22
25,1e-07,24.0,24.0,24.0,6,0.01,757,5.05
26,1e-07,24.0,24.0,24.0,6,0.01,1833,12.23
27,1e-07,24.0,24.0,24.0,6,0.01,1274,8.50
28,1e-07,24.0,24.0,24.0,6,0.01,594,3.96
29,1e-07,24.0,24.0,24.0,6,0.01,968,6.46
30,1e-07,24.0,24.0,24.0,6,0.01,649,4.33
31,1e-07,24.0,24.0,24.0,7,0.01,12,0.08
32,1e-07,24.0,24.0,24.0,7,0.01,40,0.27
33,1e-07,24.0,24.0,24.0,7,0.01,283,1.89
34,1e-07,24.0,24.0,24.0,7,0.01,933,6.22
35,1e-07,24.0,24.0,24.0,7,0.01,757,5.05
36,1e-07,24.0,24.0,24.0,7,0.01,1833,12.23
37,1e-07,24.0,24.0,24.0,7,0.01,1274,8.50
38,1e-07,24.0,24.0,24.0,7,0.01,594,3.96
39,1e-07,24.0,24.0,24.0,7,0.01,968,6.46
40,1e-07,24.0,24.0,24.0,7,0.01,649,4.33
41,1e-07,24.0,24.0,24.0,8,0.01,12,0.08
42,1e-07,24.0,24.0,24.0,8,0.01,40,0.27
43,1e-07,24.0,24.0,24.0,8,0.01,283,1.89
44,1e-07,24.0,24.0,24.0,8,0.01,933,6.22
45,1e-07,24.0,24.0,24.0,8,0.01,757,5.05
46,1e-07,24.0,24.0,24.0,8,0.01,1833,12.23
47,1e-07,24.0,24.0,24.0,8,0.01,1274,8.50
48,1e-07,24.0,24.0,24.0,8,0.01,594,3.96
49,1e-07,24.0,24.0,24.0,8,0.01,968,6.46
50,1e-07,24.0,24.0,24.0,8,0.01,649,4.33
51,1e-07,24.0,24.0,24.0,1,80.00,12,0.08
52,1e-07,24.0,24.0,24.0,1,80.00,40,0.27
53,1e-07,24.0,24.0,24.0,1,80.00,283,1.89
54,1e-07,24.0,24.0,24.0,1,80.00,933,6.22
55,1e-07,24.0,24.0,24.0,1,80.00,757,5.05
56,1e-07,24.0,24.0,24.0,1,80.00,1833,12.23
57,1e-07,24.0,24.0,24.0,1,80.00,1274,8.50
58,1e-07,24.0,24.0,24.0,1,80.00,594,3.96
59,1e-07,24.0,24.0,24.0,1,80.00,968,6.46
60,1e-07,24.0,24.0,24.0,1,80.00,649,4.33
61,1e-07,24.0,24.0,24.0,2,80.00,12,0.08
62,1e-07,24.0,24.0,24.0,2,80.00,40,0.27
63,1e-07,24.0,24.0,24.0,2,80.00,283,1.89
64,1e-07,24.0,24.0,24.0,2,80.00,933,6.22
65,1e-07,24.0,24.0,24.0,2,80.00,757,5.05
66,1e-07,24.0,24.0,24.0,2,80.00,1833,12.23
67,1e-07,24.0,24.0,24.0,2,80.00,1274,8.50
68,1e-07,24.0,24.0,24.0,2,80.00,594,3.96
69,1e-07,24.0,24.0,24.0,2,80.00,968,6.46
70,1e-07,24.0,24.0,24.0,2,80.00,649,4.33
71,1e-07,24.0,24.0,24.0,6,80.00,12,0.08
72,1e-07,24.0,24.0,24.0,6,80.00,40,0.27
73,1e-07,24.0,24.0,24.0,6,80.00,283,1.89
74,1e-07,24.0,24.0,24.0,6,80.00,933,6.22
75,1e-07,24.0,24.0,24.0,6,80.00,757,5.05
76,1e-07,24.0,24.0,24.0,6,80.00,1833,12.23
77,1e-07,24.0,24.0,24.0,6,80.00,1274,8.50
78,1e-07,24.0,24.0,24.0,6,80.00,594,3.96
79,1e-07,24.0,24.0,24.0,6,80.00,968,6.46
80,1e-07,24.0,24.0,24.0,6,80.00,649,4.33
81,1e-07,24.0,24.0,24.0,7,80.00,12,0.08
82,1e-07,24.0,24.0,24.0,7,80.00,40,0.27
83,1e-07,24.0,24.0,24.0,7,80.00,283,1.89
84,1e-07,24.0,24.0,24.0,7,80.00,933,6.22
85,1e-07,24.0,24.0,24.0,7,80.00,757,5.05
86,1e-07,24.0,24.0,24.0,7,80.00,1833,12.23
87,1e-07,24.0,24.0,24.0,7,80.00,1274,8.50
88,1e-07,24.0,24.0,24.0,7,80.00,594,3.96
89,1e-07,24.0,24.0,24.0,7,80.00,968,6.46
90,1e-07,24.0,24.0,24.0,7,80.00,649,4.33
91,1e-07,24.0,24.0,24.0,8,80.00,12,0.08
92,1e-07,24.0,24.0,24.0,8,80.00,40,0.27
93,1e-07,24.0,24.0,24.0,8,80.00,283,1.89
94,1e-07,24.0,24.0,24.0,8,80.00,933,6.22
95,1e-07,24.0,24.0,24.0,8,80.00,757,5.05
96,1e-07,24.0,24.0,24.0,8,80.00,1833,12.23
97,1e-07,24.0,24.0,24.0,8,80.00,1274,8.50
98,1e-07,24.0,24.0,24.0,8,80.00,594,3.96
99,1e-07,24.0,24.0,24.0,8,80.00,968,6.46
100,1e-07,24.0,24.0,24.0,8,80.00,649,4.33
101,1e-07,24.0,24.0,24.0,1,150.00,12,0.08
102,1e-07,24.0,24.0,24.0,1,150.00,40,0.27
103,1e-07,24.0,24.0,24.0,1,150.00,283,1.89
104,1e-07,24.0,24.0,24.0,1,150.00,933,6.22
105,1e-07,24.0,24.0,24.0,1,150.00,757,5.05
106,1e-07,24.0,24.0,24.0,1,150.00,1833,12.23
107,1e-07,24.0,24.0,24.0,1,150.00,1274,8.50
108,1e-07,24.0,24.0,24.0,1,150.00,594,3.96
109,1e-07,24.0,24.0,24.0,1,150.00,968,6.46
110,1e-07,24.0,24.0,24.0,1,150.00,649,4.33
111,1e-07,24.0,24.0,24.0,2,150.00,12,0.08
112,1e-07,24.0,24.0,24.0,2,150.00,40,0.27
113,1e-07,24.0,24.0,24.0,2,150.00,283,1.89
114,1e-07,24.0,24.0,24.0,2,150.00,933,6.22
115,1e-07,24.0,24.0,24.0,2,150.00,757,5.05
116,1e-07,24.0,24.0,24.0,2,150.00,1833,12.23
117,1e-07,24.0,24.0,24.0,2,150.00,1274,8.50
118,1e-07,24.0,24.0,24.0,2,150.00,594,3.96
119,1e-07,24.0,24.0,24.0,2,150.00,968,6.46
120,1e-07,24.0,24.0,24.0,2,150.00,649,4.33
121,1e-07,24.0,24.0,24.0,6,150.00,12,0.08
122,1e-07,24.0,24.0,24.0,6,150.00,40,0.27
123,1e-07,24.0,24.0,24.0,6,150.00,283,1.89
124,1e-07,24.0,24.0,24.0,6,150.00,933,6.22
125,1e-07,24.0,24.0,24.0,6,150.00,757,5.05
126,1e-07,24.0,24.0,24.0,6,150.00,1833,12.23
127,1e-07,24.0,24.0,24.0,6,150.00,1274,8.50
128,1e-07,24.0,24.0,24.0,6,150.00,594,3.96
129,1e-07,24.0,24.0,24.0,6,150.00,968,6.46
130,1e-07,24.0,24.0,24.0,6,150.00,649,4.33
131,1e-07,24.0,24.0,24.0,7,150.00,12,0.08
132,1e-07,24.0,24.0,24.0,7,150.00,40,0.27
133,1e-07,24.0,24.0,24.0,7,150.00,283,1.89
134,1e-07,24.0,24.0,24.0,7,150.00,933,6.22
135,1e-07,24.0,24.0,24.0,7,150.00,757,5.05
136,1e-07,24.0,24.0,24.0,7,150.00,1833,12.23
137,1e-07,24.0,24.0,24.0,7,150.00,1274,8.50
138,1e-07,24.0,24.0,24.0,7,150.00,594,3.96
139,1e-07,24.0,24.0,24.0,7,150.00,968,6.46
140,1e-07,24.0,24.0,24.0,7,150.00,649,4.33
141,1e-07,24.0,24.0,24.0,8,150.00,12,0.08
142,1e-07,24.0,24.0,24.0,8,150.00,40,0.27
143,1e-07,24.0,24.0,24.0,8,150.00,283,1.89
144,1e-07,24.0,24.0,24.0,8,150.00,933,6.22
145,1e-07,24.0,24.0,24.0,8,150.00,757,5.05
146,1e-07,24.0,24.0,24.0,8,150.00,1833,12.23
147,1e-07,24.0,24.0,24.0,8,150.00,1274,8.50
148,1e-07,24.0,24.0,24.0,8,150.00,594,3.96
149,1e-07,24.0,24.0,24.0,8,150.00,968,6.46
150,1e-07,24.0,24.0,24.0,8,150.00,649,4.33
151,1e-07,24.0,24.0,24.0,1,1000.00,12,0.08
152,1e-07,24.0,24.0,24.0,1,1000.00,40,0.27
153,1e-07,24.0,24.0,24.0,1,1000.00,283,1.89
154,1e-07,24.0,24.0,24.0,1,1000.00,933,6.22
155,1e-07,24.0,24.0,24.0,1,1000.00,757,5.05
156,1e-07,24.0,24.0,24.0,1,1000.00,1833,12.23
157,1e-07,24.0,24.0,24.0,1,1000.00,1274,8.50
158,1e-07,24.0,24.0,24.0,1,1000.00,594,3.96
159,1e-07,24.0,24.0,24.0,1,1000.00,968,6.46
160,1e-07,24.0,24.0,24.0,1,1000.00,649,4.33
161,1e-07,24.0,24.0,24.0,2,1000.00,12,0.08
162,1e-07,24.0,24.0,24.0,2,1000.00,40,0.27
163,1e-07,24.0,24.0,24.0,2,1000.00,283,1.89
164,1e-07,24.0,24.0,24.0,2,1000.00,933,6.22
165,1e-07,24.0,24.0,24.0,2,1000.00,757,5.05
166,1e-07,24.0,24.0,24.0,2,1000.00,1833,12.23
167,1e-07,24.0,24.0,24.0,2,1000.00,1274,8.50
168,1e-07,24.0,24.0,24.0,2,1000.00,594,3.96
169,1e-07,24.0,24.0,24.0,2,1000.00,968,6.46
170,1e-07,24.0,24.0,24.0,2,1000.00,649,4.33
171,1e-07,24.0,24.0,24.0,6,1000.00,12,0.08
172,1e-07,24.0,24.0,24.0,6,1000.00,40,0.27
173,1e-07,24.0,24.0,24.0,6,1000.00,283,1.89
174,1e-07,24.0,24.0,24.0,6,1000.00,933,6.22
175,1e-07,24.0,24.0,24.0,6,1000.00,757,5.05
176,1e-07,24.0,24.0,24.0,6,1000.00,1833,12.23
177,1e-07,24.0,24.0,24.0,6,1000.00,1274,8.50
178,1e-07,24.0,24.0,24.0,6,1000.00,594,3.96
179,1e-07,24.0,24.0,24.0,6,1000.00,968,6.46
180,1e-07,24.0,24.0,24.0,6,1000.00,649,4.33
181,1e-07,24.0,24.0,24.0,7,1000.00,12,0.08
182,1e-07,24.0,24.0,24.0,7,1000.00,40,0.27
183,1e-07,24.0,24.0,24.0,7,1000.00,283,1.89
184,1e-07,24.0,24.0,24.0,7,1000.00,933,6.22
185,1e-07,24.0,24.0,24.0,7,1000.00,757,5.05
186,1e-07,24.0,24.0,24.0,7,1000.00,1833,12.23
187,1e-07,24.0,24.0,24.0,7,1000.00,1274,8.50
188,1e-07,24.0,24.0,24.0,7,1000.00,594,3.96
189,1e-07,24.0,24.0,24.0,7,1000.00,968,6.46
190,1e-07,24.0,24.0,24.0,7,1000.00,649,4.33
191,1e-07,24.0,24.0,24.0,8,1000.00,12,0.08
192,1e-07,24.0,24.0,24.0,8,1000.00,40,0.27
193,1e-07,24.0,24.0,24.0,8,1000.00,283,1.89
194,1e-07,24.0,24.0,24.0,8,1000.00,933,6.22
195,1e-07,24.0,24.0,24.0,8,1000.00,757,5.05
196,1e-07,24.0,24.0,24.0,8,1000.00,1833,12.23
197,1e-07,24.0,24.0,24.0,8,1000.00,1274,8.50
198,1e-07,24.0,24.0,24.0,8,1000.00,594,3.96
199,1e-07,24.0,24.0,24.0,8,1000.00,968,6.46
200,1e-07,24.0,24.0,24.0,8,1000.00,649,4.33
